Date Time,Names,Prices,Change,% Change,Market Caps,Total Volume,Circulating Supplys
2020-12-17 11:45:40.374711,Bitcoin INR,"1,619,767.62","+5,558.25",+0.34%,30.084T,3.881T,18.573M
2020-12-17 11:45:40.374711,Ethereum INR,"47,197.48",+165.27,+0.35%,5.374T,1.257T,113.866M
2020-12-17 11:45:40.374711,XRP INR,41.13,-0.59,-1.41%,1.868T,1.229T,45.404B
2020-12-17 11:45:40.374711,Tether INR,73.38,-0.20,-0.27%,1.451T,5.574T,19.78B
2020-12-17 11:45:40.374711,Litecoin INR,"6,763.16",-42.43,-0.62%,447.082B,500.862B,66.106M
2020-12-17 11:45:40.374711,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:40.374711,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:40.374711,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:40.374711,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:40.374711,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:40.374711,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:40.374711,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:40.374711,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:40.374711,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:40.374711,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:40.374711,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:40.374711,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:40.374711,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:40.374711,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:40.374711,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:40.374711,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:40.374711,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:40.374711,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:40.374711,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:40.374711,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:42.232211,Ethereum INR,"47,197.48",+165.27,+0.35%,5.374T,1.257T,113.866M
2020-12-17 11:45:42.232211,XRP INR,41.13,-0.59,-1.41%,1.868T,1.229T,45.404B
2020-12-17 11:45:42.232211,Tether INR,73.38,-0.20,-0.27%,1.451T,5.574T,19.78B
2020-12-17 11:45:42.232211,Litecoin INR,"6,763.16",-42.43,-0.62%,447.082B,500.862B,66.106M
2020-12-17 11:45:42.232211,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:42.232211,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:42.232211,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:42.232211,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:42.232211,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:42.232211,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:42.232211,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:42.232211,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:42.232211,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:42.232211,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:42.232211,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:42.232211,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:42.232211,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:42.232211,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:42.232211,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:42.232211,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:42.232211,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:42.232211,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:42.232211,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:42.232211,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:42.232211,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:44.000592,XRP INR,41.13,-0.59,-1.41%,1.868T,1.229T,45.404B
2020-12-17 11:45:44.000592,Tether INR,73.38,-0.20,-0.27%,1.451T,5.574T,19.78B
2020-12-17 11:45:44.000592,Litecoin INR,"6,763.16",-42.43,-0.62%,447.082B,500.862B,66.106M
2020-12-17 11:45:44.000592,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:44.000592,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:44.000592,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:44.000592,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:44.000592,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
