Date Time,Names,Prices,Change,% Change
2020-12-17 10:53:34.283403,USD/INR,73.4750,-0.1650,-0.22%
2020-12-17 10:53:34.283403,EUR/INR,89.8275,+0.1674,+0.19%
2020-12-17 10:53:34.283403,GBP/INR,99.4931,+0.1661,+0.17%
2020-12-17 10:53:34.283403,AED/INR,19.9630,-0.0420,-0.21%
2020-12-17 10:53:34.283403,INR/JPY,1.4040,-0.0005,-0.04%
2020-12-17 10:53:34.283403,SGD/INR,55.3620,-0.0380,-0.07%
2020-12-17 10:53:34.283403,USD/IDR,"14,124.0000",-24.0000,-0.17%
2020-12-17 10:53:34.283403,USD/THB,29.8250,-0.1620,-0.54%
2020-12-17 10:53:34.283403,USD/MYR,4.0402,-0.0088,-0.22%
2020-12-17 10:53:34.283403,USD/ZAR,14.7863,-0.0286,-0.19%
2020-12-17 10:53:34.283403,USD/RUB,73.1525,-0.0785,-0.11%
2020-12-17 10:53:34.283403,AUD/USD,0.7595,+0.0020,+0.27%
2020-12-17 10:53:34.283403,AUD/JPY,78.4730,+0.1400,+0.18%
2020-12-17 10:53:34.283403,NZD/USD,0.7135,+0.0024,+0.34%
2020-12-17 10:53:34.283403,EUR/USD,1.2235,+0.0034,+0.28%
2020-12-17 10:53:34.283403,EUR/CAD,1.5547,+0.0007,+0.04%
2020-12-17 10:53:34.283403,USD/JPY,103.3400,-0.1030,-0.10%
2020-12-17 10:53:34.283403,GBP/USD,1.3539,+0.0033,+0.25%
2020-12-17 10:53:34.283403,USD/CHF,0.8842,-0.0011,-0.13%
2020-12-17 10:53:34.283403,USD/CAD,1.2715,-0.0024,-0.19%
2020-12-17 10:53:34.283403,EUR/JPY,126.3650,+0.2140,+0.17%
2020-12-17 10:53:34.283403,GBP/JPY,139.9620,+0.2980,+0.21%
2020-12-17 10:53:34.283403,EUR/GBP,0.9028,-0.0004,-0.04%
2020-12-17 10:53:34.283403,EUR/SEK,10.1811,-0.0036,-0.04%
2020-12-17 10:53:34.283403,EUR/CHF,1.0811,+0.0016,+0.15%
2020-12-17 10:53:34.283403,EUR/HUF,354.6500,-0.2100,-0.06%
