Date Time,Names,Prices,Change,% Change,Market Cap,Average Volume,Volume
2020-12-17 10:58:05.698749,Uttam Value Steels Limited,0.2000,0.0000,0.00%,1.652B,27.164M,204.818M
2020-12-17 10:58:05.698749,Vodafone Idea Limited,10.15,+0.15,+1.50%,291.664B,246.506M,99.638M
2020-12-17 10:58:05.698749,TRIDENT LTD,7.90,0.00,0.00%,N/A,N/A,60M
2020-12-17 10:58:05.698749,RattanIndia Power Limited,2.3000,+0.1000,+4.55%,11.361B,13.773M,59.749M
2020-12-17 10:58:05.698749,Yes Bank Limited,18.45,-0.40,-2.12%,461.757B,144.254M,50.376M
2020-12-17 10:58:05.698749,BHARAT PETROL CORP,343.35,0.00,0.00%,N/A,N/A,43.379M
2020-12-17 10:58:05.698749,The Lakshmi Vilas Bank Limited,7.65,0.00,0.00%,2.576B,1.804M,43.375M
2020-12-17 10:58:05.698749,Vodafone Idea Limited,10.12,+0.14,+1.40%,290.802B,59.043M,35.014M
2020-12-17 10:58:05.698749,RattanIndia Power Limited,2.3100,+0.1000,+4.52%,11.454B,5.89M,28.802M
2020-12-17 10:58:05.698749,Punjab National Bank,38.05,+0.10,+0.26%,357.633B,48.919M,25.039M
2020-12-17 10:58:05.698749,Jaiprakash Power Ventures Limited,3.4500,+0.1000,+2.99%,23.663B,15.996M,21.646M
2020-12-17 10:58:05.698749,Oil and Natural Gas Corporation Limited,102.50,-0.40,-0.39%,1.289T,27.047M,20.309M
2020-12-17 10:58:05.698749,SEQUENT SCIENTIFIC,128.60,0.00,0.00%,N/A,N/A,20M
2020-12-17 10:58:05.698749,3i Infotech Limited,5.50,+0.15,+2.80%,9.188B,4.814M,19.935M
2020-12-17 10:58:05.698749,Steel Authority of India Limited,59.00,-1.15,-1.91%,243.492B,30.867M,19.093M
2020-12-17 10:58:05.698749,IDFC Limited,40.45,+0.05,+0.12%,64.573B,4.941M,17.473M
2020-12-17 10:58:05.698749,Ashok Leyland Limited,100.45,+0.40,+0.40%,294.718B,39.473M,17.205M
2020-12-17 10:58:05.698749,Suzlon Energy Limited,4.7600,+0.2200,+4.85%,39.528B,6.764M,15.926M
2020-12-17 10:58:05.698749,Subex Limited,17.00,+0.05,+0.29%,9.548B,6.646M,15.299M
2020-12-17 10:58:05.698749,Hindustan Copper Limited,64.70,+6.45,+11.07%,59.92B,1.945M,14.941M
2020-12-17 10:58:05.698749,Bank of Baroda,66.45,+0.05,+0.08%,307.037B,37.577M,12.268M
2020-12-17 10:58:05.698749,Canara Bank,123.35,+3.40,+2.83%,203.375B,15.21M,11.89M
2020-12-17 10:58:05.698749,Tata Motors Limited,182.70,+0.15,+0.08%,603.06B,58.14M,11.559M
2020-12-17 10:58:05.698749,The Bombay Dyeing and Manufacturing Company Limited,83.45,+4.80,+6.10%,17.235B,1.913M,11.147M
2020-12-17 10:58:05.698749,National Aluminium Company Limited,43.80,-0.55,-1.24%,81.809B,15.397M,10.635M
2020-12-17 10:58:08.678705,Vodafone Idea Limited,10.10,+0.10,+1.00%,290.228B,246.506M,99.642M
2020-12-17 10:58:08.678705,TRIDENT LTD,7.90,0.00,0.00%,N/A,N/A,60M
2020-12-17 10:58:08.678705,RattanIndia Power Limited,2.3000,+0.1000,+4.55%,11.361B,13.773M,59.749M
